Metadata_broad_sample,Metadata_pert_iname,Metadata_pert_iname2,Metadata_moa,Metadata_target
BRD-K00603606-003-03-4,NA,ticlopidine hydrochloride,purinergic receptor antagonist|platelet aggregation inhibitor,"CYP2B6, CYP2C19, P2RY12"
BRD-K00610438-003-01-7,altanserin,BRD-K00610438,serotonin receptor antagonist|collagen stimulant,"HTR2A, HTR2C"
BRD-K00662280-001-01-1,CL-218872,BRD-K00662280,GABA receptor agonist,"GABRA1, GABRA2, GABRA3, GABRA5, GABRB2, GABRG2"
BRD-K00673382-001-04-9,famotidine,famotidine,histamine receptor antagonist,HRH2
BRD-K00675675-003-01-2,CL-82198,BRD-K00675675,metalloproteinase inhibitor,MMP13
BRD-K00824317-001-03-0,fludroxycortide,fludroxycortide,glucocorticoid receptor agonist,"NR3C1, SERPINA6"
BRD-K01095011-001-03-5,finasteride,finasteride,5 alpha reductase inhibitor,"AKR1D1, SRD5A1, SRD5A2"
BRD-K01244426-236-04-8,cloxacillin,cloxacillin,bacterial cell wall synthesis inhibitor,
BRD-K01292756-001-06-0,pimozide,pimozide,dopamine receptor antagonist,"CACNA1I, CALM1, DRD1, DRD2, DRD3, DRD4, DRD5, HRH1, HTR1A, HTR2A, KCNA10, KCNH2"
BRD-K01555864-001-02-8,NA,dibenzoylmethane,antineoplastic,NA
BRD-K01567962-001-06-5,pyrazolanthrone,pyrazolanthrone,JNK inhibitor,"MAPK10, MAPK8, MAPK8IP1, MAPK9, TTK"
BRD-K01624546-001-02-8,NA,DOCOSATRIENOIC ACID (22:3 n-3),LTB4 inhibitor,NA
BRD-K01663662-003-03-8,NA,difenidol,muscarinic antagonist,NA
BRD-K01868942-001-01-3,RS-23597-190,RS-23597-190,serotonin receptor antagonist,HTR4
BRD-K02265150-001-04-2,amoxapine,amoxapine,norepinephrine reputake inhibitor,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD1, DRD2, DRD3, DRD4, DRD5, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, HRH1, HRH4, HTR1A, HTR1B, HTR2A, HTR2B, HTR2C, HTR3A, HTR6, HTR7, SLC6A2, SLC6A3, SLC6A4"
BRD-K02275692-003-03-4,cefotiam,cefotiam,bacterial cell wall synthesis inhibitor,
BRD-K02283807-003-01-4,GR-32191,BRD-K02283807,thromboxane receptor antagonist,TBXA2R
BRD-K02407574-001-03-0,parbendazole,parbendazole,tubulin polymerization inhibitor,TUBB
BRD-K02590140-001-01-2,O-2050,BRD-K02590140,cannabinoid receptor antagonist,CNR1
BRD-K02764365-001-03-7,methiazole,methiazole,anthelmintic agent,
BRD-K02867583-300-04-8,minaprine,minaprine,serotonin reuptake inhibitor,"ACHE, CHRM1, DRD1, DRD2, HTR2A, HTR2B, HTR2C, MAOA, SLC6A4"
BRD-K02900412-001-02-2,clofoctol,clofoctol,protein synthesis inhibitor,
BRD-K02953697-001-01-9,naringin,naringin,cytochrome P450 inhibitor,SLCO1A2
BRD-K03015355-003-01-5,forskolin,BRD-K03015355,adenylyl cyclase activator|Adenylate cyclase stimulant|growth hormone receptor agonist|phosphokinase stimulant,"ADCY2, ADCY5, GNAS"
BRD-K03067624-300-02-9,emetine,emetine,protein synthesis inhibitor,RPS2
BRD-K03109492-001-01-4,NSC-663284,BRD-K03109492,CDC inhibitor,"CDC25A, CDC25B, CDC25C"
BRD-K03602135-236-02-1,fluvastatin,fluvastatin,HMGCR inhibitor,HMGCR
BRD-K03642198-300-01-7,AY-9944,BRD-K03642198,hedgehog pathway inhibitor,NA
BRD-K03842655-001-02-1,NA,penitrem A,potassium channel blocker,KCNMA1
BRD-K04010869-001-02-6,NA,prostaglandin A1,HSP inducer|NFKB pathway inhibitor,NA
BRD-K04414442-001-03-4,SB-222200,BRD-K04414442,tachykinin antagonist,TACR3
BRD-K04704168-003-03-6,clemizole,clemizole,HCV inhibitor,
BRD-K04976539-001-01-0,NA,aminogenistein,PKC inhibitor|src inhibitor,LCK
BRD-K05151076-001-01-8,ZK-164015,BRD-K05151076,estrogen receptor antagonist,"ESR1, ESR2"
BRD-K05181084-003-02-9,NGB-2904,BRD-K05181084,dopamine receptor antagonist,DRD3
BRD-K05434375-001-04-0,HA-1004,HA-1004,calcium channel blocker,
BRD-K05977355-001-02-6,fluconazole,fluconazole,sterol demethylase inhibitor,CYP51A1
BRD-K06234293-001-01-8,LY-364947,4-(3-(Pyridin-2-yl)-(1H)-pyrazol-4-yl]quinoline,TGF beta receptor inhibitor|p38 MAPK inhibitor,TGFBR1
BRD-K06426971-001-01-9,ryuvidine,BRD-K06426971,histone lyinse methyltransferase inhibitor,"CDK2, CDK4"
BRD-K06543683-001-03-6,NA,RO 31-8220,PKC inhibitor|glycogen synthase kinase inhibitor|leucine rich repeat kinase inhibitor|SIRT inhibitor,"AKT1, GSK3B, LCK, LRRK2, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, ROCK1, RPS6KB1, SIRT1, SIRT2"
BRD-K06593056-001-01-4,LE-135,LE-135,retinoid receptor agonist,RARB
BRD-K06854232-001-03-3,AM-580,AM-580,retinoid receptor agonist,RARA
BRD-K07507905-236-01-8,BRL-37344,BRD-K07507905,adrenergic receptor agonist,"ADRB1, ADRB2, ADRB3"
BRD-K07691486-001-05-6,roscovitine,roscovitine,CDK inhibitor,"CDK2, CDK9"
BRD-K07762753-001-03-6,aminopurvalanol-a,aminopurvalanol A,CDK inhibitor|tyrosine kinase inhibitor,"CDK1, CDK2, CDK5, CDK6"
BRD-K08078237-001-04-0,tetrandrine,tetrandrine,calcium channel blocker,SLC6A3
BRD-K08109516-001-01-1,NA,"L-701,324",glutamate receptor antagonist,"GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D"
BRD-K08115555-001-02-8,NA,tyrphostin AG-1288,catechol O methyltransferase inhibitor|tumor necrosis factor inhibitor,COMT
BRD-K08316444-001-02-7,NA,rotenone,inhibitor of mitochondrial electron transport,NA
BRD-K08438429-001-01-0,NA,BRD-K08438429,glucosylceramidase inhibitor|somatostatin receptor agonist,"GBA, SSTR4"
BRD-K08996725-313-01-7,zolantidine,BRD-K08996725,histamine receptor antagonist,NA
BRD-K08998509-001-01-6,fananserin,BRD-K08998509,dopamine receptor antagonist|serotonin receptor antagonist,"DRD4, HTR2A"
BRD-K09132007-001-01-8,D-4476,BRD-K09132007,casein kinase inhibitor|TGF beta receptor inhibitor,"CSNK1A1, CSNK1D, TGFB1"
BRD-K09255212-001-03-4,clioquinol,clioquinol,chelating agent,OPRK1
BRD-K09416995-001-16-7,lovastatin,lovastatin,HMGCR inhibitor,"HDAC2, HMGCR, ITGAL, NR1I2"
BRD-K09471561-001-02-6,levofloxacin,levofloxacin,bacterial DNA gyrase inhibitor,TOP2A
BRD-K09497549-001-03-6,NA,kawain,calcium channel modulator|mTOR inhibitor|sodium channel blocker,MTOR
BRD-K09537769-001-01-6,NU-7026,NU7026,DNA dependent protein kinase inhibitor|mTOR inhibitor|PI3K inhibitor,PRKDC
BRD-K09549677-300-01-8,mibefradil,BRD-K09549677,T-type calcium channel blocker|angiogenesis inhibitor|calcium channel blocker|calcium channel inhibitor|L-type calcium channel blocker|sodium channel blocker,"ANO1, CACNA1C, CACNA1D, CACNA1F, CACNA1G, CACNA1H, CACNA1I, CACNA1S, CACNB1, CACNB2, CACNB3, CACNB4, CATSPER1, CATSPER2, CATSPER3, CATSPER4, CYP3A5, CYP3A7, SCN2A, SCN4A, SCN5A, SCN9A"
BRD-K09598619-065-01-5,vincristine,vincristine,tubulin polymerization inhibitor,"TUBA4A, TUBB"
BRD-K09631521-001-02-4,thiotepa,thiotepa,cytochrome P450 inhibitor,"CYP2B6, CYP3A4"
BRD-K09778810-001-01-5,FGIN-1-27,FGIN-1-27,inositol monophosphatase inhibitor,TSPO
BRD-K09963420-066-03-4,saquinavir,saquinavir,HIV protease inhibitor,CYP3A4
BRD-K09991945-001-02-0,NA,GSK-3 inhibitor II,glycogen synthase kinase inhibitor|PKC inhibitor|superoxide dismutase expression inhibitor,GSK3B
BRD-K10042277-001-02-7,NA,N-DESMETHYLCLOZAPINE,cetylcholine receptor agonist|dopamine receptor agonist|dopamine receptor antagonist|dopamine receptor partial agonist|serotonin receptor antagonist|serotonin receptor inverse agonist,"CHRM1, DRD2, DRD3, HTR2A"
BRD-K10065684-001-02-5,dantron,dantron,laxative,
BRD-K10176267-001-01-7,NA,"L-701,252",glutamate receptor antagonist,GRIN1
BRD-K10207760-236-03-0,lasalocid,lasalocid,bacterial permeability inducer,
BRD-K10314788-003-04-4,meclofenoxate,meclofenoxate,nootropic agent,
BRD-K10870738-001-02-4,NA,CDC,lipoxygenase inhibitor,"ALOX12, ALOX5"
BRD-K11107424-001-01-1,tiotidine,BRD-K11107424,histamine receptor antagonist,HRH2
BRD-K11158509-001-02-0,NA,tyrphostin B44,EGFR inhibitor,NA
BRD-K11298197-001-03-9,florfenicol,florfenicol,protein synthesis inhibitor,
BRD-K11399644-003-03-0,phenformin,phenformin,AMPK activator,"KCNJ8, PRKAA1"
BRD-K11634954-300-01-8,GBR-13069,BRD-K11634954,dopamine uptake inhibitor,SLC6A3
BRD-K11717138-001-03-0,benzbromarone,benzbromarone,chloride channel blocker,ABCC1
BRD-K11742128-003-04-4,triprolidine,triprolidine,histamine receptor antagonist,HRH1
BRD-K11911061-003-02-8,GR-127935,BRD-K11911061,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR1E, HTR1F, HTR2A, HTR2B, HTR2C, HTR6"
BRD-K11927976-050-01-1,ER-27319,BRD-K11927976,mediator release inhibitor|syk inhibitor,SYK
BRD-K12184470-300-01-8,flunarizine,BRD-K12184470,calcium channel blocker|T-type calcium channel blocker,"CACNA1G, CACNA1H, CACNA1I, CALM1, CYP2J2, HRH1"
BRD-K12357156-001-01-5,AG-490,BRD-K12357156,EGFR inhibitor|ErbB2 inhibitor|JAK2 inhibitor,"EGFR, JAK2, JAK3, STAT3"
BRD-K12513978-001-04-3,fenbufen,fenbufen,cyclooxygenase inhibitor,"PTGS1, PTGS2"
BRD-K12539581-001-06-2,nocodazole,nocodazole,tubulin polymerization inhibitor,HPGDS
BRD-K13169950-001-04-5,NSC-3852,5-nitroso-8-cinnolinol,HDAC inhibitor,HDAC1
BRD-K13211965-001-01-4,NA,"L-741,742",dopamine receptor antagonist,"DRD3, DRD4, SCN1A, SCN3A"
BRD-K13356952-001-11-1,methazolamide,methazolamide,carbonic anhydrase inhibitor,"CA1, CA12, CA14, CA2, CA4, CA7"
BRD-K13533483-001-03-0,NA,ciclosporin,calcineurin inhibitor|cyclophilin inhibitor|immunosuppressant|insulin expression inhibitor|T cell inhibitor,"ABCB11, CAMLG, CYP3A5, CYP3A7, FPR1, PPIA, PPID, PPIF, PPP3CA, PPP3R2, SLC10A1, SLCO1B1, SLCO1B3"
BRD-K13544237-001-01-0,NA,R(-)-propylnorapomorphine,dopamine receptor agonist|antiamyloidogenic agent,"DRD1, DRD2, DRD3"
BRD-K13642330-001-02-6,NA,cosmosiin,cytochrome P450 inhibitor,NA
BRD-K13994703-001-02-0,propranolol,propranolol,adrenergic receptor antagonist,
BRD-K14282469-001-01-5,LY-165163,PAPP,serotonin receptor antagonist,"HTR1A, HTR1D"
BRD-K14496212-001-01-1,bromocriptine,bromocriptine,dopamine receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C, HTR6, HTR7"
BRD-K14765469-003-02-3,vesamicol,vesamicol,acetylcholinesterase inhibitor,SLC18A3
BRD-K14767410-001-01-5,SC-560,BRD-K14767410,cyclooxygenase inhibitor,PTGS1
BRD-K14807180-001-01-7,SB-221284,BRD-K14807180,serotonin receptor antagonist,"HTR2A, HTR2B, HTR2C"
BRD-K14821540-001-02-1,NA,FCCP,mitochondrial oxidative phosphorylation uncoupler,NA
BRD-K15025317-001-04-5,BAY-11-7082,BAY 11-7082,NFkB pathway inhibitor,RELA
BRD-K15086322-103-01-0,JNJ-10191584,BRD-K15086322,histamine receptor antagonist|histamine receptor silent antagonist,HRH4
BRD-K15164005-001-01-5,apoptosis-activator-II,apoptosis activator II,carboxylesterase inhibitor,"BCHE, CES1"
BRD-K15519488-001-01-6,CS-110266,BTCP hydrochloride,dopamine receptor agonist,SLC6A3
BRD-K15567136-001-01-1,NA,papaverine hydrochloride,phosphodiesterase inhibitor,"PDE10A, PDE4B, PDE5A"
BRD-K15588452-003-01-9,R-96544,BRD-K15588452,serotonin receptor antagonist,HTR2A
BRD-K15616905-001-01-5,CCCP,BRD-K15616905,mitochondrial oxidative phosphorylation uncoupler,NA
BRD-K15715913-001-01-5,NA,FLUPERLAPINE,dopamine receptor antagonist|serotonin receptor antagonist,"DRD2, HTR2A, HTR6, HTR7"
BRD-K15766189-001-02-3,cefdinir,cefdinir,bacterial cell wall synthesis inhibitor,MPO
BRD-K15791587-003-01-7,L-733060,BRD-K15791587,tachykinin antagonist,TACR1
BRD-K15916496-001-04-8,clotrimazole,clotrimazole,cytochrome P450 inhibitor|imidazoline receptor ligand,"CYP3A4, KCNN4, NR1I2, NR1I3, TRPM2, TRPM4, TRPM8"
BRD-K15933101-003-01-2,ropinirole,BRD-K15933101,dopamine receptor agonist|dopamine receptor modulator,"ADRA2A, ADRA2B, ADRA2C, DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C"
BRD-K15935639-001-02-0,NA,ZL3VS,PGPH inhibitor|proteasome inhibitor,NA
BRD-K15957397-001-02-6,anthraquinone,anthraquinone,CDC inhibitor,CDC25B
BRD-K16444452-001-03-4,ibudilast,BRD-K16444452,phosphodiesterase inhibitor|leukotriene receptor antagonist|toll-like receptor antagonist|macrophage migration inhibiting factor inhibitor|macrophage migration inhibiting factor modulator|mediator release inhibitor|nitric oxide synthase inhibitor,"CYSLTR1, IL1B, IL6, MIF, PDE10A, PDE11A, PDE3A, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, TLR4"
BRD-K16485616-001-01-4,NA,MCG-D0103,HDAC inhibitor|cell cycle inhibitor,"HDAC1, HDAC11, HDAC2, HDAC3"
BRD-K16508793-001-01-8,diazepam,diazepam,benzodiazepine receptor agonist,"ADRA1A, GABRA1, GABRA2, GABRA3, GABRA4, GABRA5, GABRA6, GABRB1, GABRB2, GABRB3, GABRD, GABRE, GABRG1, GABRG2, GABRG3, GABRP, GABRQ, GABRR1, GABRR2, GABRR3, TSPO"
BRD-K16542329-001-05-1,zaprinast,zaprinast,phosphodiesterase inhibitor,"GPR35, PDE1A, PDE4D, PDE5A, PDE9A"
BRD-K16551401-003-01-8,PNU-22394,BRD-K16551401,serotonin receptor agonist,"MAOA, MAOB"
BRD-K16604360-001-01-8,NA,"R(-)-2,10,11-trihydroxy-N-propyl-noraporphine",antiamyloidogenic agent|dopamine receptor agonist,NA
BRD-K16664969-001-01-7,GTP-14564,GTP-14564,FLT3 inhibitor|tyrosine kinase inhibitor,"CSF1R, FLT3, KIT, PDGFRB"
BRD-K17016787-001-03-5,estriol,estriol,estrogen receptor agonist,"ESR1, ESR2"
BRD-K17294426-050-04-0,clebopride,clebopride,dopamine receptor antagonist,"ACHE, DRD2"
BRD-K17368287-001-03-5,adrenosterone,adrenosterone,11-beta hydroxysteroid dehydrogenase inhibitor,"HSD11B1, HSD11B2"
BRD-K17415526-001-02-7,tyrphostin-AG-835,tyrphostin AG 835,protein tyrosine kinase inhibitor,EGFR
BRD-K17497770-001-01-0,butein,butein,EGFR inhibitor|src inhibitor,ACE
BRD-K17565903-066-04-1,pridinol,pridinol,muscle relaxant,
BRD-K17693482-001-03-9,NA,BRD-K17693482,potassium channel activator,NA
BRD-K17705806-003-01-0,NA,BRD-K17705806,opioid receptor antagonist,OPRL1
BRD-K17743125-001-01-9,belinostat,PXD101,HDAC inhibitor|cell cycle inhibitor,"HDAC1, HDAC2, HDAC3, HDAC4, HDAC5, HDAC6, HDAC7, HDAC8, HDAC9"
BRD-K17743697-066-01-0,KB-R7943,KB-R7943,sodium/calcium exchange inhibitor,"SLC8A1, TRPC3, TRPC5, TRPC6"
BRD-K17796732-001-02-0,JWH-015,BRD-K17796732,cannabinoid receptor agonist,"CNR2, GPR55"
BRD-K17894950-001-04-4,indirubin,indirubin,CDK inhibitor|glycogen synthase kinase inhibitor,"CDK1, CDK5, GSK3A"
BRD-K17896185-001-01-2,FIT,BRD-K17896185,opioid receptor agonist,OPRD1
BRD-K18059238-001-02-1,NA,gamolenic acid,cyclooxygenase inhibitor|prostanoid receptor stimulant|thromboxane synthase stimulant,TBXAS1
BRD-K18194590-065-02-3,mephentermine,mephentermine,adrenergic receptor agonist,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, ADRB1, ADRB2, ADRB3"
BRD-K18250272-003-03-7,propoxycaine,propoxycaine,local anesthetic,
BRD-K18316707-001-01-9,O-1918,BRD-K18316707,cannabinoid receptor antagonist,NA
BRD-K18550767-001-02-8,bergenin,bergenin,interleukin inhibitor,"IL1B, TNF"
BRD-K18574842-323-03-3,nafcillin,nafcillin,bacterial cell wall synthesis inhibitor,"CYP1A2, CYP3A4, SLC22A6"
BRD-K18619710-001-03-7,digoxigenin,digoxigenin,steroid,
BRD-K18742343-001-03-2,NA,H-8,PKA inhibitor,"PKIA, PRKACA"
BRD-K18757346-001-02-9,NA,U-46619,thromboxane receptor agonist,"PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, PTGIR, TBXA2R"
BRD-K18779551-003-03-7,bifemelane,BRD-K18779551,acetylcholine release stimulant|adrenergic transmitter uptake inhibitor|reducing agent,SLC6A2
BRD-K18787491-001-05-2,U-0126,U0126,MEK inhibitor,"AKT1, CHEK1, GSK3B, LCK, MAP2K1, MAP2K2, MAP2K7, MAPK1, MAPK11, MAPK12, MAPK14, MAPK8, PRKCA, RAF1, ROCK1, RPS6KB1, SGK1"
BRD-K18799075-001-01-0,BAY-59-3074,BRD-K18799075,cannabinoid receptor partial agonist,"CNR1, CNR2"
BRD-K18909381-001-01-4,NA,CGS-12066A,serotonin receptor agonist,"HTR1B, HTR1A, HTR1D, HTR2A, HTR2B, HTR2C"
BRD-K18910433-001-04-4,estradiol,estradiol,estrogen receptor agonist,"ESR1, ESR2, GPER1, KCNMA1, NR1I2"
BRD-K19295594-001-04-4,gossypol,gossypol,BCL inhibitor|MCL1 inhibitor,BCL2
BRD-K19309090-300-03-0,SR-95639A,SR-95639A,acetylcholine receptor agonist,CHRM1
BRD-K19352500-332-03-7,prochlorperazine,prochlorperazine,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4"
BRD-K19462402-003-03-0,buflomedil,buflomedil,adrenergic receptor antagonist|calcium channel blocker,ADRA1A
BRD-K19554809-001-01-1,NA,MK 212,serotonin receptor agonist,"HTR2A, HTR2B, HTR2C"
BRD-K19605405-001-01-9,ZM-241385,BRD-K19605405,adenosine receptor antagonist,"ADORA2A, ADORA2B, ADORA1, ADORA3"
BRD-K20141153-003-03-8,atomoxetine,BRD-K20141153,norepinephrine transporter inhibitor|adrenergic transmitter uptake inhibitor,"SLC6A2, SLC6A3, SLC6A4, GRIN1, GRIN2A, GRIN2B, GRIN2C, GRIN2D, GRIN3A, GRIN3B"
BRD-K20620780-001-01-0,butaclamol,butaclamol,dopamine receptor antagonist,"DRD1, DRD2, DRD3, DRD4, DRD5, HTR1A, HTR2A"
BRD-K20655524-003-04-7,mefexamide,mefexamide,psychoactive drug,
BRD-K20742498-001-01-5,RS-39604,RS 39604,serotonin receptor antagonist,HTR4
BRD-K20755323-001-01-8,SKI-II,SKI-II,sphingosine kinase inhibitor,SPHK1
BRD-K21283037-001-02-5,riluzole,riluzole,glutamate inhibitor,"KCNK10, KCNK2, KCNK4, KCNN4, SCN10A, SCN11A, SCN1A, SCN2A, SCN3A, SCN4A, SCN5A, SCN7A, SCN8A, SCN9A, SLC7A11"
BRD-K21350491-001-02-1,NA,phenamil,acid sensing ion channel blocker|sodium channel blockers|TRPP3 channel inhibitor|TRPV modulator,PKD2L1
BRD-K21450440-001-04-7,benzthiazide,benzthiazide,carbonic anhydrase inhibitor,"CA1, CA12, CA2, CA4, CA9, SLC12A3"
BRD-K21548250-001-01-3,moracizine,moracizine,sodium channel blocker,SCN5A
BRD-K21565985-001-04-3,xylazine,xylazine,adrenergic receptor agonist,"ADRA2A, ADRA2B, ADRA2C"
BRD-K21667562-001-01-4,AM-404,BRD-K21667562,FAAH transport inhibitor|anandamide transport inhibitor|nucelar factor of activated T-cells inhibitor|TRPV agonist,"TRPV1, CNR1, CNR2, FAAH"
BRD-K21680192-300-05-2,mitoxantrone,mitoxantrone,topoisomerase inhibitor,TOP2A
BRD-K21733600-001-02-6,rofecoxib,rofecoxib,cyclooxygenase inhibitor,"ELN, PTGS2"
BRD-K21853356-001-04-4,NA,RG-14620,EGFR inhibitor,EGFR
BRD-K22134346-001-04-1,simvastatin,simvastatin,HMGCR inhibitor,"HMGCR, ITGB2"
BRD-K22385716-001-01-7,LY-303511,BRD-K22385716,casein kinase inhibitor|mTOR inhibitor|PI3K inhibitor,"CSNK2A1, CSNK2A2, CSNK2B, MTOR"
BRD-K22861715-001-03-4,chrysin,chrysin,breast cancer resistance protein inhibitor,"AKR1B1, CDK6, CYP19A1, CYP1B1"
BRD-K22969690-001-02-6,chloramphenicol,chloramphenicol,bacterial 50S ribosomal subunit inhibitor,CD55
BRD-K23301018-001-02-6,broxyquinoline,broxyquinoline,antiprotozoal agent,
BRD-K23335153-300-01-7,AMN-082,BRD-K23335153,glutamate receptor positive allosteric modulator,GRM7
BRD-K23383398-001-01-6,T-0901317,BRD-K23383398,LXR agonist|ABC transporter expression enhancer|ROR inverse agonist,"NR1H3, NR1H2, ABCA1, NCOA1, NCOA2, NR1I2, RORA, RORC, RXRB"
BRD-K23478508-001-03-7,digoxin,digoxin,ATPase inhibitor,ATP1A1
BRD-K23541596-300-04-9,dimaprit,dimaprit,histamine receptor agonist,"HRH2, HRH3, HRH4"
BRD-K23566484-001-04-5,nilutamide,nilutamide,androgen receptor antagonist,AR
BRD-K23583188-001-05-6,NA,lavendustin A,EGFR inhibitor|tyrosine kinase inhibitor,"EGFR, LCK"
BRD-K23623876-001-01-6,decafluorobutane,BRD-K23623876,ultrasound contrast agent,GRM5
BRD-K23704908-001-03-2,NA,"3,4-dichloroisocoumarin",serine protease inhibitor,NA
BRD-K23922020-075-01-1,arecaidine,BRD-K23922020,acetylcholine receptor agonist,"CHRM1, CHRM2, CHRM3, CHRM4"
BRD-K24084088-001-02-2,paraxanthine,paraxanthine,adenosine receptor antagonist,
BRD-K24132293-001-02-0,NA,piperlongumine,glutathione transferase inhibitor,NA
BRD-K24396733-001-01-1,A77636,A-77636,dopamine receptor agonist,CALY
BRD-K25224017-001-04-5,pirenperone,pirenperone,serotonin receptor antagonist,"HTR2A, HTR7"
BRD-K25433859-003-11-4,maprotiline,maprotiline,norepinephrine reputake inhibitor|tricyclic antidepressant,"ADRA1A, ADRA1B, ADRA1D, ADRA2A, ADRA2B, ADRA2C, CHRM1, CHRM2, CHRM3, CHRM4, CHRM5, DRD2, HRH1, HTR2A, HTR2C, HTR7, SLC6A2"
BRD-K25741894-001-03-8,NA,skimmianine,acetylcholinesterase inhibitor,NA
BRD-K25906698-303-01-9,immepip,BRD-K25906698,histamine receptor agonist,"HRH3, HRH4"
BRD-K26429091-051-01-9,J-104129,BRD-K26429091,acetylcholine receptor antagonist,CHRM3
BRD-K26521938-001-04-9,dinoprostone,dinoprostone,prostanoid receptor agonist,"CATSPER1, CATSPER2, CATSPER3, CATSPER4, PTGDR, PTGDR2, PTGER1, PTGER2, PTGER3, PTGER4, PTGFR, TBXA2R"
BRD-K26997899-001-01-4,SA-792574,BRD-K26997899,microtubule inhibitor|tubulin inhibitor,TUBB
BRD-K27305650-001-04-2,LY294002,LY-294002,mTOR inhibitor|PI3K inhibitor|DNA dependent protein kinase inhibitor|phosphodiesterase inhibitor|PLK inhibitor,"AKT1, CHEK1, LCK, MAPK1, MAPK11, MAPK12, MAPK8, MTOR, PIK3CA, PIK3CB, PIK3CD, PIK3CG, PLK1, PRKCA, PRKDC, ROCK1, RPS6KB1, SGK1"
BRD-K27316855-001-02-6,calcitriol,calcitriol,vitamin D receptor agonist,VDR
BRD-K27351809-001-02-0,nomegestrol-acetate,nomegestrol acetate,progesterone receptor agonist,PGR
BRD-K27737647-001-03-4,H-89,H-89,PKA inhibitor,"GSG2, PKIA, PRKACA"
BRD-K28143534-001-01-4,cyproheptadine,cyproheptadine,histamine receptor antagonist,"ADRA1A, ADRA1B, ADRA1D, CHRM1, CHRM2, CHRM3, HRH1, HTR2A, HTR2C, HTR6, HTR7"
BRD-K28307902-001-04-3,flutamide,flutamide,androgen receptor antagonist,"AHR, AR"
BRD-K28578425-001-01-3,cilostamide,cilostamide,phosphodiesterase inhibitor,"PDE3A, PDE3B"
BRD-K28680267-001-01-8,NA,METHYL-beta-CARBOLINE-3-CARBOXYLATE,CCK receptor antagonist,"CCKAR, GABRA1, GABRB2, GABRG2"
BRD-K28761384-003-03-6,zuclopenthixol,zuclopenthixol,dopamine receptor antagonist,"ADRA1A, ADRA2A, DRD1, DRD2, DRD5, HRH1, HTR2A"
BRD-K28761891-001-01-0,ramelteon,ramelteon,melatonin receptor agonist,"MTNR1A, MTNR1B"
BRD-K28806945-001-01-9,NA,"L-750,667 trihydrochloride[(?)-3-[4-Iodophenyl)-1-piperazyl] methylpyrrolo [2,3-b] pyrimidine]",dopamine receptor antagonist,DRD4
BRD-K28907958-001-01-9,CD-437,CD-437,retinoid receptor agonist,RARG
BRD-K28936863-051-04-1,ketotifen,ketotifen,histamine receptor agonist|leukotriene receptor antagonist|phosphodiesterase inhibitor,"HRH1, PDE4A, PDE4B, PDE4C, PDE4D, PDE7A, PDE7B, PDE8A, PDE8B, PGD"
BRD-K29668683-300-01-4,BD-1063,BRD-K29668683,sigma receptor antagonist,SIGMAR1
BRD-K29673530-001-03-9,hypericin,hypericin,tyrosine kinase inhibitor,
BRD-K29950728-048-02-6,clomifene,clomifene,estrogen receptor antagonist,ESR1
BRD-K30240666-051-05-0,clemastine,clemastine,histamine receptor antagonist,HRH1
BRD-K30421593-050-02-3,timolol,timolol,adrenergic receptor antagonist,"ADRB1, ADRB2"
BRD-K30685142-001-04-8,levothyroxine,levothyroxine,thyroid hormone stimulant,"THRA, THRB"
BRD-K30867024-001-01-1,SB-216641,SB 216641,serotonin receptor antagonist,"HTR1A, HTR1B, HTR1D, HTR2A, HTR2B, HTR2C"
BRD-K31238592-001-01-6,devazepide,BRD-K31238592,CCK receptor antagonist|gastrin inhibitor,"CCKAR, CCKBR, GAST"
BRD-K31342827-001-05-4,GF109203X,GF-109203X,PKC inhibitor,"PDPK1, PIM1, PRKCI, PRKCZ"
BRD-K31491153-001-01-2,1-phenylbiguanide,1-phenylbiguanide,serotonin receptor agonist,"HTR3A, HTR3B"
BRD-K31542390-001-01-5,mycophenolic-acid,mycophenolic acid,dehydrogenase inhibitor|inositol monophosphatase inhibitor,"IMPDH1, IMPDH2"
BRD-K31627533-001-03-8,rimexolone,rimexolone,glucocorticoid receptor agonist,"NR3C1, SERPINA6"
BRD-K31792052-004-01-9,pifithrin,cyclic PFT-alpha,interleukin receptor antagonist,NA
